item_num,bid_value
1,511.99
1,493.0
1,490.0
1,450.0
1,200.0
1,193.0
1,150.01
1,30.0
1,25.0
1,20.0
2,264.85
2,250.89
2,249.01
2,240.0
2,230.99
2,180.0
2,151.08
3,252.5
3,245.6
3,225.0
3,195.0
3,185.85
3,180.89
3,180.11
3,150.0
3,95.0
3,22.0
4,150.5
4,144.77
4,135.0
4,122.0
4,120.0
4,111.11
4,90.0
4,26.0
5,160.0
5,150.0
5,150.0
5,125.01
5,120.01
5,107.0
5,75.0
6,120.0
6,120.0
6,115.0
6,109.01
6,101.01
6,86.52
6,60.0
6,11.0
7,155.59
7,144.5
7,142.99
7,126.99
7,125.0
7,120.01
7,77.77
7,75.0
8,110.01
8,100.0
8,90.0
8,85.0
8,80.0
9,90.07
9,85.0
9,80.0
10,801.0
10,795.0
10,500.0
10,100.0
10,35.0
10,15.0
10,10.55
11,145.5
11,140.0
11,126.4
11,100.0
11,85.0
11,35.0
11,25.0
11,5.0
12,84.35
12,80.75
12,75.06
12,75.0
12,70.01
12,65.0
12,57.0
12,55.0
12,45.0
12,43.65
12,25.0
12,15.51
12,5.57
13,182.5
13,181.35
13,175.0
13,135.0
13,125.0
13,110.0
13,75.0
13,50.0
13,30.01
13,14.0
13,12.51
14,31.0
14,28.55
14,26.75
14,24.0
14,22.0
14,21.0
14,20.0
14,17.0
15,35.62
15,25.25
15,23.99
15,18.0
15,17.0
16,100.0
16,96.8
16,95.0
16,88.65
16,80.01
16,77.5
16,70.0
16,66.0
16,65.0
16,60.0
16,50.0
16,50.0
16,40.01
16,22.0
16,20.05
17,160.75
17,150.0
17,146.01
17,120.01
17,100.0
17,80.0
17,75.0
17,65.0
17,60.0
17,45.0
17,21.0
18,118.0
18,116.0
18,105.0
18,101.7
18,77.0
18,72.0
18,70.0
18,60.5
18,60.0
18,55.55
18,40.01
18,30.0
18,20.07
18,17.2
18,12.51
19,65.0
19,64.51
19,62.01
19,57.02
19,56.0
19,55.65
19,50.0
19,46.0
19,45.0
19,41.0
19,40.0
19,30.0
19,27.95
19,22.0
19,20.0
19,19.99
20,385.99
20,300.0
20,45.01
20,10.5
21,12.75
21,12.09
21,11.09
21,10.0
22,10.0
22,8.0
22,6.76
22,6.28
23,35.0
23,35.0
23,30.0
24,35.0
24,30.0
24,28.0
24,24.99
25,25.0
25,20.51
25,6.0
26,42.0
26,40.0
26,40.0
26,35.01
26,33.0
26,22.55
26,20.51
26,20.0
27,50.0
27,40.25
27,35.0
27,15.63
27,15.0
27,9.99
28,35.0
28,29.5
28,28.5
28,25.01
28,19.51
28,18.51
28,15.0
28,15.0
28,11.0
29,17.5
29,16.33
29,15.99
29,13.33
29,9.99
30,29.0
30,28.5
30,18.0
30,16.5
30,14.44
30,12.0
30,12.0
30,9.99
31,28.56
31,25.11
31,22.88
31,22.0
31,19.5
32,375.0
32,365.29
32,360.0
32,300.0
32,288.0
32,266.67
32,256.78
32,200.0
32,125.0
32,75.0
32,63.99
32,30.0
33,30.51
33,25.0
33,22.5
33,16.95
33,15.0
33,12.0
33,4.0
34,31.85
34,30.0
34,25.0
34,21.5
34,20.5
34,20.0
34,18.0
34,13.33
34,10.69
34,5.0
35,35.1
35,35.0
35,32.51
35,30.04
35,16.01
35,15.0
35,15.0
35,10.0
36,30.1
36,23.75
36,16.01
36,12.0
36,11.0
36,10.0
36,3.61
36,1.75
37,55.1
37,53.53
37,25.99
37,18.0
37,10.0
37,8.0
38,47.5
38,30.1
38,25.55
38,21.99
38,10.0
38,4.0
38,3.0
39,35.0
39,30.1
39,26.5
39,22.0
39,19.99
39,9.0
39,8.0
40,31.55
40,25.01
40,23.0
40,21.99
40,20.0
40,10.0
40,7.0
41,100.0
41,39.99
41,31.51
41,26.0
41,20.0
41,19.99
41,9.0
41,8.88
42,54.0
42,45.0
42,45.0
42,40.1
42,29.0
42,25.99
42,20.01
42,15.5
42,14.51
42,12.01
42,10.0
42,7.0
43,31.55
43,27.5
43,25.99
43,18.75
43,10.0
43,5.69
43,2.0
44,39.0
44,35.0
44,30.0
44,29.0
44,25.01
44,16.78
44,10.89
44,9.0
44,8.0
45,39.0
45,30.1
45,30.0
45,20.99
45,15.0
45,12.0
45,4.69
45,1.25
46,25.51
46,21.55
46,11.75
46,11.5
46,10.0
46,3.0
47,33.0
47,30.0
47,25.01
47,18.25
47,6.29
47,5.0
48,25.01
48,22.5
48,15.56
48,10.0
48,10.0
48,2.26
49,31.0
49,30.01
49,15.55
49,15.0
49,5.0
49,2.55
50,25.0
50,20.5
50,20.0
50,17.0
50,15.55
50,15.0
50,10.09
50,5.0
50,4.61
50,2.55
51,50.0
51,47.5
51,42.0
51,36.0
51,35.0
51,35.0
51,29.0
51,20.0
51,15.0
51,5.55
52,10.0
52,8.51
52,7.5
52,3.66
53,12.5
53,11.11
53,7.0
53,1.25
54,15.55
54,15.0
54,14.0
54,7.26
54,5.3
54,3.09
54,1.25
55,20.0
55,19.0
55,15.0
55,6.75
55,6.51
55,5.0
55,4.0
55,3.22
56,11.1
56,9.0
56,5.75
56,4.0
56,2.09
56,1.69
57,32.55
57,22.89
57,21.0
57,15.0
57,11.05
57,5.55
58,25.0
58,21.01
58,6.0
58,4.66
59,85.0
59,80.0
59,75.0
59,65.75
60,164.55
60,135.0
60,120.0
60,100.0
60,95.0
60,75.0
60,35.0
61,185.51
61,175.0
61,158.0
61,150.0
61,125.0
61,100.0
61,100.0
61,90.0
61,72.0
61,50.0
61,50.0
61,40.0
61,30.0
61,30.0
62,25.01
62,13.49
62,10.5
63,30.0
63,29.55
63,25.5
63,19.01
63,12.0
63,10.5
64,300.09
64,300.0
64,270.54
64,250.01
65,55.55
65,55.01
65,35.0
65,30.0
66,82.0
66,70.0
66,67.0
67,45.0
67,40.0
67,36.0
67,35.5
67,31.0
67,29.01
67,26.83
67,25.0
67,21.0
67,20.0
67,15.0
67,10.0
68,22.5
68,20.1
68,17.12
68,16.0
68,13.0
68,10.35
69,59.5
69,52.0
69,21.01
70,10.01
70,6.8
70,6.07
70,5.07
71,501.19
71,450.0
71,425.55
71,400.0
71,250.0
72,26.0
72,25.0
72,22.0
73,25.5
73,6.25
73,5.0
74,172.94
74,130.0
74,125.0
74,120.0
74,82.5
74,75.0
74,50.55
74,36.0
75,172.91
75,150.0
75,135.0
75,125.11
75,120.02
75,100.0
75,95.0
75,90.0
75,80.0
75,55.55
76,85.5
76,50.99
76,34.0
76,31.5
76,30.0
76,22.0
76,20.99
77,49.0
77,48.99
77,45.69
77,40.0
77,37.02
77,35.0
77,30.0
77,27.0
78,19.83
78,17.25
78,15.5
78,15.0
78,15.0
78,12.35
79,134.0
79,132.5
79,110.01
79,100.01
79,88.99
79,80.0
79,78.0
79,75.0
79,55.99
79,45.0
79,30.0
79,20.0
79,17.0
79,15.41
79,12.0
79,10.01
79,5.0
80,15.0
80,15.0
80,11.16
80,9.1
80,7.01
80,6.0
80,5.55
80,1.7
81,20.01
81,18.0
81,15.0
81,12.0
82,45.0
82,40.0
82,37.0
82,30.0
82,23.0
82,20.0
82,18.8
83,30.0
83,25.98
83,25.0
83,22.0
83,14.0
84,16.0
84,15.69
84,13.99
85,31.0
85,23.0
85,21.0
85,20.59
85,15.51
85,15.0
85,15.0
85,11.54
86,20.0
86,20.0
86,16.55
86,15.0
87,185.0
87,155.01
87,150.01
87,140.0
87,127.51
87,121.09
87,116.5
87,111.5
87,93.05
87,79.0
87,60.0
88,215.0
88,210.0
88,205.0
89,25.0
89,20.0
89,15.5
89,14.0
89,11.0
89,9.5
89,9.0
90,96.55
90,84.0
90,44.0
90,36.5
90,25.8
90,12.0
91,72.0
91,55.55
91,44.0
91,24.0
92,48.97
92,45.51
92,36.5
92,24.0
93,48.5
93,45.0
93,37.51
93,30.88
93,24.0
93,21.0
93,12.0
94,26.84
94,25.0
94,20.5
94,15.51
94,15.0
94,10.0
94,8.0
95,87.99
95,80.1
95,75.05
95,70.01
95,67.0
95,60.0
95,55.0
95,50.01
95,45.0
95,30.0
95,12.0
96,105.5
96,101.01
96,80.0
96,50.02
96,50.0
96,35.0
96,21.01
96,20.0
97,86.1
97,80.0
97,77.5
97,75.05
97,72.0
97,67.0
97,65.56
97,62.65
97,50.05
97,37.05
97,11.01
98,150.0
98,146.2
98,145.52
98,141.1
98,134.49
98,110.01
98,100.01
98,99.0
98,75.75
98,45.0
98,35.0
98,15.53
99,33.99
99,31.53
99,30.0
99,23.01
99,17.85
99,15.0
100,50.0
100,39.47
100,35.0
100,31.0
100,25.01
100,25.0
101,45.0
101,40.0
101,37.03
101,35.0
101,25.03
101,20.25
102,130.0
102,127.75
102,80.01
102,70.2
102,69.0
102,66.0
102,65.0
102,44.0
102,30.0
102,20.5
103,97.75
103,70.02
103,55.0
103,41.01
103,30.0
103,27.5
104,75.0
104,75.0
104,71.55
104,65.0
104,50.11
104,25.05
104,16.67
105,151.99
105,140.0
105,125.0
105,120.0
105,101.78
105,66.0
105,45.0
105,44.55
106,100.57
106,94.5
106,90.0
106,86.01
106,83.8
106,80.0
106,80.0
106,75.5
106,75.0
106,60.0
106,55.0
106,50.0
107,37.0
107,35.0
107,31.0
107,30.0
107,30.0
107,28.0
107,25.0
107,16.5
107,15.0
108,117.5
108,112.5
108,110.0
108,60.0
108,55.0
108,52.0
108,50.0
109,175.0
109,85.0
109,66.0
109,65.0
109,60.25
109,50.0
109,35.08
109,22.22
109,20.88
110,155.0
110,150.0
110,135.0
110,130.0
110,127.1
110,110.0
110,105.0
110,100.0
110,100.0
110,85.0
110,65.0
110,51.0
110,41.0
111,186.77
111,152.5
111,112.0
111,109.1
111,100.0
111,100.0
111,70.0
111,65.0
111,59.0
111,49.0
111,45.0
111,26.0
111,25.0
112,24.0
112,23.0
112,22.0
112,20.0
112,16.0
112,12.0
112,10.0
113,30.0
113,26.64
113,26.0
113,22.0
113,19.5
113,18.0
113,12.55
113,11.11
114,11.0
114,10.04
114,8.51
114,7.01
115,124.55
115,122.0
115,60.26
115,35.5
116,30.5
116,29.05
116,27.08
116,16.03
116,13.52
116,10.01
117,26.99
117,25.0
117,24.03
117,22.5
117,21.5
117,20.5
117,18.0
117,16.16
117,15.5
117,14.5
117,13.01
118,25.5
118,25.0
118,20.5
118,16.51
118,15.15
118,12.0
119,20.01
119,18.02
119,17.02
119,15.01
119,15.0
