i,j,fill
62,1,1
67,1,1
150,1,1
259,1,1
260,1,1
281,1,1
284,1,1
285,1,1
295,1,1
314,1,1
315,1,1
319,1,1
349,1,1
514,1,1
527,1,1
530,1,1
543,1,1
551,1,1
552,1,1
557,1,1
558,1,1
568,1,1
569,1,1
570,1,1
572,1,1
581,1,1
625,1,1
626,1,1
627,1,1
629,1,1
630,1,1
631,1,1
634,1,1
638,1,1
649,1,1
650,1,1
651,1,1
652,1,1
653,1,1
656,1,1
657,1,1
658,1,1
659,1,1
660,1,1
661,1,1
662,1,1
663,1,1
669,1,1
674,1,1
694,1,1
696,1,1
837,1,1
840,1,1
849,1,1
865,1,1
866,1,1
867,1,1
869,1,1
870,1,1
872,1,1
884,1,1
885,1,1
886,1,1
887,1,1
888,1,1
889,1,1
890,1,1
891,1,1
892,1,1
894,1,1
897,1,1
898,1,1
910,1,1
911,1,1
912,1,1
913,1,1
914,1,1
915,1,1
916,1,1
917,1,1
918,1,1
919,1,1
920,1,1
921,1,1
922,1,1
965,1,1
966,1,1
967,1,1
968,1,1
969,1,1
970,1,1
971,1,1
972,1,1
973,1,1
974,1,1
975,1,1
987,1,1
993,1,1
994,1,1
995,1,1
996,1,1
997,1,1
998,1,1
999,1,1
1000,1,1
1001,1,1
1002,1,1
1003,1,1
1004,1,1
1005,1,1
1006,1,1
1009,1,1
1010,1,1
1011,1,1
1012,1,1
1013,1,1
1014,1,1
1015,1,1
1016,1,1
1017,1,1
1018,1,1
1032,1,1
1033,1,1
1034,1,1
1056,1,1
1057,1,1
1058,1,1
1059,1,1
1060,1,1
1061,1,1
1062,1,1
1063,1,1
1064,1,1
1065,1,1
1066,1,1
1067,1,1
1068,1,1
1075,1,1
1076,1,1
1077,1,1
1078,1,1
1081,1,1
1082,1,1
1083,1,1
1084,1,1
1085,1,1
1086,1,1
1087,1,1
1088,1,1
1089,1,1
1090,1,1
1091,1,1
1092,1,1
1093,1,1
1094,1,1
1095,1,1
1096,1,1
1097,1,1
1098,1,1
1099,1,1
1107,1,1
1108,1,1
1109,1,1
1110,1,1
1113,1,1
1114,1,1
1120,1,1
1122,1,1
1127,1,1
1128,1,1
1129,1,1
1130,1,1
1136,1,1
1137,1,1
1138,1,1
1139,1,1
1154,1,1
1155,1,1
1156,1,1
1157,1,1
1176,1,1
1177,1,1
1178,1,1
1179,1,1
1180,1,1
1181,1,1
1225,1,1
1233,1,1
1234,1,1
1235,1,1
1238,1,1
1239,1,1
1241,1,1
1242,1,1
1243,1,1
1244,1,1
1245,1,1
1246,1,1
1247,1,1
1248,1,1
1249,1,1
1250,1,1
1251,1,1
1252,1,1
1253,1,1
1254,1,1
1255,1,1
1256,1,1
1257,1,1
1258,1,1
1259,1,1
1260,1,1
1261,1,1
1262,1,1
1263,1,1
1264,1,1
1265,1,1
1266,1,1
1267,1,1
1268,1,1
1289,1,1
1295,1,1
1399,1,1
1400,1,1
1401,1,1
1402,1,1
1403,1,1
1404,1,1
1407,1,1
1411,1,1
1412,1,1
1413,1,1
1414,1,1
1415,1,1
1419,1,1
1420,1,1
1421,1,1
1422,1,1
1423,1,1
1425,1,1
1426,1,1
1428,1,1
1429,1,1
1430,1,1
1431,1,1
1432,1,1
1433,1,1
1434,1,1
1435,1,1
1436,1,1
1437,1,1
1438,1,1
1439,1,1
1440,1,1
1441,1,1
1442,1,1
1443,1,1
1444,1,1
1445,1,1
1446,1,1
1447,1,1
1448,1,1
1449,1,1
1450,1,1
1451,1,1
1452,1,1
1453,1,1
1454,1,1
1455,1,1
1456,1,1
1457,1,1
1458,1,1
1459,1,1
1460,1,1
1461,1,1
1462,1,1
1463,1,1
1464,1,1
1465,1,1
1466,1,1
1467,1,1
1468,1,1
1469,1,1
1470,1,1
1471,1,1
1472,1,1
1473,1,1
1474,1,1
1475,1,1
1476,1,1
1477,1,1
1478,1,1
1479,1,1
1480,1,1
1481,1,1
1482,1,1
1483,1,1
1484,1,1
1485,1,1
1486,1,1
1487,1,1
1488,1,1
1489,1,1
1490,1,1
1491,1,1
1492,1,1
1493,1,1
1494,1,1
1495,1,1
1515,1,1
1526,1,1
1527,1,1
1532,1,1
1535,1,1
1570,1,1
1575,1,1
1576,1,1
1577,1,1
1578,1,1
1581,1,1
1586,1,1
1587,1,1
1588,1,1
1590,1,1
1592,1,1
1593,1,1
1594,1,1
1595,1,1
1596,1,1
1600,1,1
1601,1,1
1602,1,1
1603,1,1
1607,1,1
1608,1,1
1613,1,1
1614,1,1
1615,1,1
1616,1,1
1686,1,1
1692,1,1
1697,1,1
1721,1,1
1734,1,1
1735,1,1
1736,1,1
1737,1,1
1738,1,1
1751,1,1
1803,1,1
1805,1,1
1829,1,1
1854,1,1
1855,1,1
1873,1,1
1874,1,1
1875,1,1
1879,1,1
1880,1,1
1891,1,1
1893,1,1
1900,1,1
1901,1,1
1903,1,1
1904,1,1
1906,1,1
1913,1,1
1922,1,1
1924,1,1
1928,1,1
1929,1,1
1930,1,1
1974,1,1
1975,1,1
1976,1,1
1984,1,1
1985,1,1
1986,1,1
1987,1,1
1989,1,1
1994,1,1
1996,1,1
1997,1,1
1998,1,1
1999,1,1
2000,1,1
2001,1,1
2002,1,1
2003,1,1
2004,1,1
2005,1,1
2006,1,1
2009,1,1
2010,1,1
2011,1,1
2029,1,1
2136,1,1
2137,1,1
2138,1,1
2139,1,1
2140,1,1
2141,1,1
2142,1,1
2143,1,1
2144,1,1
2145,1,1
2146,1,1
2147,1,1
2148,1,1
2149,1,1
2150,1,1
2152,1,1
2158,1,1
2183,1,1
2186,1,1
2213,1,1
2215,1,1
2216,1,1
2220,1,1
2221,1,1
2222,1,1
2223,1,1
2224,1,1
2225,1,1
2226,1,1
2227,1,1
2228,1,1
2231,1,1
2234,1,1
2237,1,1
2238,1,1
2239,1,1
2240,1,1
2241,1,1
2242,1,1
2243,1,1
2244,1,1
2245,1,1
2251,1,1
2253,1,1
2255,1,1
2271,1,1
2275,1,1
2288,1,1
2289,1,1
2290,1,1
2291,1,1
2292,1,1
2293,1,1
2294,1,1
2295,1,1
2297,1,1
2298,1,1
2301,1,1
2317,1,1
2318,1,1
2319,1,1
2321,1,1
2322,1,1
2336,1,1
2337,1,1
2338,1,1
2339,1,1
2340,1,1
2341,1,1
2342,1,1
2343,1,1
2344,1,1
2345,1,1
2346,1,1
2347,1,1
2348,1,1
2349,1,1
2350,1,1
2351,1,1
2352,1,1
2355,1,1
2356,1,1
2389,1,1
2390,1,1
2391,1,1
2392,1,1
2393,1,1
2394,1,1
2395,1,1
2726,1,1
2727,1,1
2728,1,1
2729,1,1
2732,1,1
2743,1,1
2744,1,1
2745,1,1
2746,1,1
2755,1,1
2756,1,1
2757,1,1
2758,1,1
2759,1,1
2780,1,1
2781,1,1
2782,1,1
2786,1,1
2787,1,1
2789,1,1
2791,1,1
2792,1,1
2793,1,1
2794,1,1
2795,1,1
2796,1,1
2797,1,1
2798,1,1
2799,1,1
2800,1,1
2801,1,1
2802,1,1
2803,1,1
2809,1,1
2810,1,1
2823,1,1
2845,1,1
2852,1,1
2853,1,1
2854,1,1
2858,1,1
2859,1,1
2860,1,1
2861,1,1
2862,1,1
2863,1,1
2864,1,1
2865,1,1
2866,1,1
2877,1,1
2878,1,1
2900,1,1
2952,1,1
2964,1,1
2968,1,1
2969,1,1
2970,1,1
2971,1,1
2972,1,1
2975,1,1
2991,1,1
2992,1,1
2993,1,1
3002,1,1
3003,1,1
3014,1,1
3017,1,1
3019,1,1
3024,1,1
3027,1,1
3029,1,1
3066,1,1
3068,1,1
3069,1,1
3121,1,1
3122,1,1
3149,1,1
3189,1,1
3192,1,1
3199,1,1
3200,1,1
3202,1,1
3206,1,1
3208,1,1
3221,1,1
3222,1,1
3223,1,1
3224,1,1
3225,1,1
3226,1,1
3227,1,1
3228,1,1
3229,1,1
3230,1,1
3231,1,1
3232,1,1
3234,1,1
3246,1,1
3253,1,1
3260,1,1
3261,1,1
3266,1,1
3277,1,1
3278,1,1
3279,1,1
3281,1,1
3282,1,1
3283,1,1
3284,1,1
3286,1,1
3287,1,1
3288,1,1
3312,1,1
3317,1,1
3318,1,1
3319,1,1
3320,1,1
3324,1,1
3325,1,1
3326,1,1
3328,1,1
3329,1,1
3331,1,1
3334,1,1
3336,1,1
3337,1,1
3338,1,1
3339,1,1
3340,1,1
3343,1,1
3345,1,1
3346,1,1
3347,1,1
3348,1,1
3349,1,1
3350,1,1
3351,1,1
3352,1,1
3354,1,1
3355,1,1
3358,1,1
3360,1,1
3361,1,1
3362,1,1
3363,1,1
3364,1,1
3365,1,1
3366,1,1
3367,1,1
3368,1,1
3369,1,1
3370,1,1
3373,1,1
3387,1,1
3405,1,1
3406,1,1
3407,1,1
3408,1,1
3409,1,1
3420,1,1
3421,1,1
3422,1,1
3423,1,1
3424,1,1
3425,1,1
3426,1,1
3427,1,1
3428,1,1
3429,1,1
3430,1,1
3431,1,1
3432,1,1
3433,1,1
3434,1,1
3435,1,1
3436,1,1
3437,1,1
3438,1,1
3439,1,1
3440,1,1
3441,1,1
3442,1,1
3443,1,1
3444,1,1
3445,1,1
3446,1,1
3447,1,1
3448,1,1
3449,1,1
3450,1,1
3451,1,1
3452,1,1
3453,1,1
3454,1,1
3455,1,1
3456,1,1
3457,1,1
3458,1,1
3459,1,1
3460,1,1
3461,1,1
3462,1,1
3463,1,1
3464,1,1
3465,1,1
3466,1,1
3467,1,1
3468,1,1
3469,1,1
3470,1,1
3471,1,1
3472,1,1
3473,1,1
3474,1,1
3475,1,1
3476,1,1
3477,1,1
3478,1,1
3479,1,1
3480,1,1
3481,1,1
3482,1,1
3483,1,1
3484,1,1
3485,1,1
3486,1,1
3487,1,1
3488,1,1
3489,1,1
3490,1,1
3491,1,1
3492,1,1
3493,1,1
3494,1,1
3495,1,1
3507,1,1
3516,1,1
3517,1,1
3518,1,1
3519,1,1
3520,1,1
3521,1,1
3522,1,1
3523,1,1
3524,1,1
3525,1,1
3526,1,1
3527,1,1
3528,1,1
3529,1,1
3530,1,1
3531,1,1
3532,1,1
3533,1,1
3534,1,1
3535,1,1
3536,1,1
3549,1,1
3550,1,1
3566,1,1
3567,1,1
3570,1,1
3571,1,1
3576,1,1
3577,1,1
3587,1,1
3594,1,1
3596,1,1
3610,1,1
3611,1,1
3612,1,1
3614,1,1
3615,1,1
3616,1,1
3617,1,1
3618,1,1
3619,1,1
3620,1,1
3621,1,1
3622,1,1
3635,1,1
3636,1,1
3637,1,1
3638,1,1
3640,1,1
3641,1,1
3642,1,1
3643,1,1
3644,1,1
3645,1,1
3646,1,1
3647,1,1
3648,1,1
3649,1,1
3657,1,1
3658,1,1
3659,1,1
3660,1,1
3662,1,1
3664,1,1
3666,1,1
3669,1,1
3670,1,1
3672,1,1
3673,1,1
3679,1,1
3680,1,1
3682,1,1
3683,1,1
3685,1,1
3686,1,1
3688,1,1
3689,1,1
3690,1,1
3691,1,1
3696,1,1
3704,1,1
3705,1,1
3706,1,1
3711,1,1
3714,1,1
3716,1,1
3719,1,1
3720,1,1
3723,1,1
3724,1,1
3729,1,1
3731,1,1
3739,1,1
3744,1,1
3775,1,1
3776,1,1
3777,1,1
3781,1,1
3782,1,1
3812,1,1
3813,1,1
3815,1,1
3833,1,1
3834,1,1
3843,1,1
3849,1,1
3868,1,1
3869,1,1
3871,1,1
3875,1,1
3876,1,1
3878,1,1
3881,1,1
3882,1,1
3883,1,1
3884,1,1
3886,1,1
3887,1,1
3888,1,1
3889,1,1
3890,1,1
3891,1,1
3892,1,1
3893,1,1
3895,1,1
3896,1,1
3897,1,1
3898,1,1
3899,1,1
3900,1,1
3901,1,1
3902,1,1
3908,1,1
3909,1,1
3924,1,1
3925,1,1
3927,1,1
3928,1,1
3929,1,1
3930,1,1
3946,1,1
3947,1,1
3948,1,1
3949,1,1
3950,1,1
3951,1,1
3952,1,1
3953,1,1
3954,1,1
3955,1,1
3956,1,1
3957,1,1
3958,1,1
3959,1,1
3960,1,1
3961,1,1
4001,1,1
4009,1,1
4015,1,1
4016,1,1
4179,1,1
4236,1,1
4237,1,1
4238,1,1
4239,1,1
4240,1,1
4241,1,1
4242,1,1
4243,1,1
4244,1,1
4245,1,1
4246,1,1
4247,1,1
4248,1,1
4249,1,1
4250,1,1
4251,1,1
4252,1,1
4253,1,1
4254,1,1
4255,1,1
4256,1,1
4257,1,1
4258,1,1
4259,1,1
4260,1,1
4261,1,1
4262,1,1
4263,1,1
4264,1,1
4265,1,1
4266,1,1
4267,1,1
4268,1,1
4269,1,1
4270,1,1
4271,1,1
4272,1,1
4273,1,1
4274,1,1
4275,1,1
4276,1,1
4277,1,1
4278,1,1
4279,1,1
4280,1,1
4281,1,1
4282,1,1
4283,1,1
4284,1,1
4285,1,1
4286,1,1
4287,1,1
4289,1,1
4290,1,1
4291,1,1
4292,1,1
4293,1,1
4294,1,1
4298,1,1
4299,1,1
4300,1,1
4301,1,1
4302,1,1
4303,1,1
4305,1,1
4309,1,1
4310,1,1
4315,1,1
4360,1,1
4364,1,1
4365,1,1
4366,1,1
4367,1,1
4368,1,1
4380,1,1
4381,1,1
4387,1,1
4388,1,1
4394,1,1
4395,1,1
4396,1,1
4397,1,1
4398,1,1
4399,1,1
4400,1,1
4401,1,1
4402,1,1
4403,1,1
4404,1,1
4405,1,1
4406,1,1
4407,1,1
4408,1,1
4409,1,1
4410,1,1
4411,1,1
4412,1,1
4413,1,1
4414,1,1
4415,1,1
4416,1,1
4417,1,1
4418,1,1
4419,1,1
4420,1,1
4421,1,1
4422,1,1
4423,1,1
4424,1,1
4425,1,1
4426,1,1
4427,1,1
4428,1,1
4429,1,1
4430,1,1
4431,1,1
4434,1,1
4449,1,1
4458,1,1
4459,1,1
4460,1,1
4464,1,1
4465,1,1
4466,1,1
4472,1,1
4473,1,1
4474,1,1
4475,1,1
4478,1,1
4480,1,1
4481,1,1
4482,1,1
4483,1,1
4485,1,1
4489,1,1
4490,1,1
4491,1,1
4496,1,1
4499,1,1
4500,1,1
4528,1,1
4534,1,1
4546,1,1
4551,1,1
4552,1,1
4553,1,1
4554,1,1
4555,1,1
4557,1,1
4559,1,1
4560,1,1
4561,1,1
4562,1,1
4563,1,1
4564,1,1
4565,1,1
4566,1,1
4567,1,1
4570,1,1
4571,1,1
4574,1,1
4575,1,1
4576,1,1
4577,1,1
4579,1,1
4580,1,1
4581,1,1
4585,1,1
4586,1,1
4587,1,1
4593,1,1
4608,1,1
4611,1,1
4612,1,1
4613,1,1
4614,1,1
4615,1,1
4618,1,1
4619,1,1
4620,1,1
4621,1,1
4624,1,1
4625,1,1
4626,1,1
4627,1,1
4628,1,1
4629,1,1
4630,1,1
4631,1,1
4632,1,1
4633,1,1
4634,1,1
4635,1,1
4636,1,1
4638,1,1
4640,1,1
4641,1,1
4642,1,1
4645,1,1
4646,1,1
4647,1,1
4648,1,1
4649,1,1
4650,1,1
4651,1,1
4652,1,1
4653,1,1
4657,1,1
4658,1,1
4660,1,1
4661,1,1
4662,1,1
4664,1,1
4665,1,1
4666,1,1
4667,1,1
4668,1,1
4670,1,1
4671,1,1
4672,1,1
4673,1,1
4674,1,1
4678,1,1
4679,1,1
4681,1,1
4682,1,1
4683,1,1
4684,1,1
4685,1,1
4686,1,1
4687,1,1
4688,1,1
4691,1,1
4692,1,1
4693,1,1
4695,1,1
4696,1,1
4698,1,1
4699,1,1
4700,1,1
4701,1,1
4702,1,1
4703,1,1
4704,1,1
4707,1,1
4708,1,1
4709,1,1
4710,1,1
4711,1,1
4713,1,1
4715,1,1
4735,1,1
4771,1,1
4772,1,1
4773,1,1
4811,1,1
4839,1,1
4845,1,1
4999,1,1
5023,1,1
5057,1,1
5061,1,1
5062,1,1
5063,1,1
5064,1,1
5065,1,1
5066,1,1
5067,1,1
5068,1,1
5069,1,1
5081,1,1
5083,1,1
5096,1,1
